Index,date,bet,length,game_num,aw,hw,ao,ho,ab1,hb1,ab2,hb2,ab3,hb3,ab4,hb4,ab5,hb5,ab6,hb6,ab7,hb7,ab8,hb8,ab9,hb9,ab10,hb10
57,20190401,t,full,3,69%,31%,214½-115,214½-115,216-107,216-103,216½-103,216½-107,216½-110,216½-110,216-110,216-110,216-115,216-105,216-105,216-105,216-110,216-110,216-110,216-110,216½-110,216½-110,216-110,216-110
58,20190401,t,full,4,49%,51%,212½-110,212½-110,213½-103,213½-107,213-108,213-102,214-110,214-110,213-110,213-110,214-115,214-105,213½-105,213½-105,213½-110,213½-110,213-110,213-110,213-110,213-110,213-110,213-110
59,20190401,t,full,5,57%,43%,223-110,223-110,225-101,225-109,225-108,225-102,225-110,225-110,225-110,225-110,225-110,225-110,225-105,225-105,225-110,225-110,225-110,225-110,225-110,225-110,225-110,225-110
60,20190401,t,full,6,44%,56%,221½-115,221½-115,219½-108,219½-102,219½-105,219½-105,219½-110,219½-110,219½-114,219½-106,219-115,219-105,219½-105,219½-105,219½-110,219½-110,219½-110,219½-110,219½-110,219½-110,219½-114,219½-106
61,20190401,t,full,7,47%,53%,218-110,218-110,218½-110,218½-101,219-105,219-105,219-110,219-110,218½-115,218½-105,218-110,218-110,218-105,218-105,219-110,219-110,218½-110,218½-110,219-110,219-110,218½-115,218½-105
62,20190401,t,full,8,61%,39%,220-115,220-115,224-104,224-106,224-102,224-108,223½-110,223½-110,223½-116,223½-104,224-105,224-115,224-105,224-105,223½-110,223½-110,224-110,224-110,223½-110,223½-110,223½-116,223½-104
63,20190401,t,first,0,57%,43%,105½-110,105½-110,104-108,104-104,104-110,104-110,104-115,104-105,104-105,104-115,104-110,104-110,104-110,104-110,104-110,104-110,104-110,104-110,104-115,104-105,104-105,104-115
64,20190401,t,first,1,52%,48%,109-110,109-110,109-111,109-101,109-110,109-110,109-110,109-110,109-110,109-110,109-110,109-110,109-110,109-110,109-110,109-110,109-110,109-110,109-110,109-110,109-110,109-110
65,20190401,t,first,2,62%,38%,110½-110,110½-110,112½-101,112½-111,111½-110,111½-110,112-110,112-110,111½-115,111½-105,111½-115,111½-105,111½-110,111½-110,111½-110,111½-110,112-110,112-110,112-110,112-110,111½-115,111½-105
66,20190401,t,first,3,63%,37%,110½-110,110½-110,110½-106,110½-106,111-110,111-110,111-110,111-110,110½-115,110½-105,111-110,111-110,111-110,111-110,110½-110,110½-110,110½-110,110½-110,111-110,111-110,110½-115,110½-105
