Index,date,bet,length,game_num,aw,hw,ao,ho,ab1,hb1,ab2,hb2,ab3,hb3,ab4,hb4,ab5,hb5,ab6,hb6,ab7,hb7,ab8,hb8,ab9,hb9,ab10,hb10
71,20061101,t,first,4,-,-,102-110,102-110,101-108,101-102,100½-110,100½-110,100-110,100-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,20061101,t,first,5,-,-,96-110,96-110,97-112,97+102,97½-110,97½-110,97-110,97-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,20061101,t,first,6,-,-,93-110,93-110,93-101,93-109,92½-110,92½-110,93-110,93-110,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74,20061101,t,sec,0,-,-,-,-,96½-103,96½-107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75,20061101,t,sec,1,-,-,-,-,92½-109,92½-101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76,20061101,t,sec,2,-,-,-,-,99½-105,99½-105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77,20061101,t,sec,3,-,-,-,-,98½+102,98½-112,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,20061101,t,sec,4,-,-,-,-,102-102,102-108,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,20061101,t,sec,5,-,-,-,-,97½-106,97½-104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80,20061101,t,sec,6,-,-,-,-,91½-108,91½-102,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
81,20061102,p,full,0,-,-,+4½-110,-4½-110,+2½-103,-2½-107,+2½-110,-2½-110,+2½-110,-2½-110,-,-,+3-110,-3-110,-,-,-,-,-,-,-,-,-,-
82,20061102,p,full,1,-,-,+4½-110,-4½-110,+4-104,-4-106,+4-110,-4-110,-,-4½-110,-,-,+4½-110,-4½-110,-,-,-,-,-,-,-,-,-,-
83,20061102,p,first,0,-,-,+2½-110,-2½-110,+1½-104,-1½-106,+1½-115,-1½-105,+1½-115,-1½-105,-,-,-,-,-,-,-,-,-,-,-,-,-,-
84,20061102,p,first,1,-,-,+2-110,-2-110,+1½+103,-1½-113,+2-105,-2-115,+2½-115,-2½-105,-,-,-,-,-,-,-,-,-,-,-,-,-,-
85,20061102,p,sec,0,-,-,-,-,-½-116,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
86,20061102,p,sec,1,-,-,-,-,+3-107,-3-103,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
87,20061102,m,full,0,-,-,+165,-190,+132,-142,+125,-145,+125,-145,-,-,+125,-145,-,-,-,-,-,-,-,-,-,-
88,20061102,m,full,1,-,-,+168,-195,+158,-168,+155,-175,+160,-190,-,-,+160,-180,-,-,-,-,-,-,-,-,-,-
89,20061102,m,first,0,-,-,+130,-150,+121,-,+115,-135,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90,20061102,m,first,1,-,-,+125,-145,+135,-145,+130,-150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91,20061102,m,sec,0,-,-,-,-,-126,+116,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
92,20061102,m,sec,1,-,-,-,-,+160,-175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
93,20061102,t,full,0,-,-,186-110,186-110,182-105,182-105,182½-110,182½-110,182-110,182-110,-,-,184-110,184-110,-,-,-,-,-,-,-,-,-,-
